"","gamename","rank","score"
"1","Roblox","1","340"
"2","Candy Crush Saga","2","302"
"3","Coin Master","3","267"
"4","Evony","4","242"
"5","Pokémon Go","5","241"
"6","Royal Match","6","239"
"7","Bingo Blitz – Bingo Game","7","213"
"8","RAID: Shadow Legends","8","195"
"9","Jackpot Party Casino Slots","9","190"
"10","Fate/Grand Order","10","178"
"11","Candy Crush Soda Saga","11","177"
"12","Solitaire Grand Harvest","12","174"
"13","Township","13","171"
"14","Diablo Immortal","14","171"
"15","Fishdom","15","171"
"16","Homescapes","16","168"
"17","State of Survival: Zombie War","17","167"
"18","Top War: Battle Game","18","163"
"19","Puzzles & Survival","19","163"
"20","Dragon Ball Z Dokkan Battle","20","162"
"21","Slotomania Slots Casino Games","21","157"
"22","Toon Blast","22","157"
"23","Gardenscapes","23","157"
"24","Genshin Impact","24","153"
"25","Marvel Strike Force: Squad RPG","25","151"
"26","Cashman Casino Las Vegas Slots","26","151"
"27","Craft School: Monster Class","27","150"
"28","Lotsa Slots – Casino Games","28","149"
"29","Parking Jam 3D","29","142"
"30","POP! Slots Vegas Casino games","30","139"
"31","Empires & Puzzles: Match-3 RPG","31","138"
"32","Stumble Guys","32","138"
"33","Cash Frenzy – Casino Slots","33","134"
"34","Junkyard Keeper","34","133"
"35","Aquarium Land","35","127"
"36","Tiki Solitaire TriPeaks","36","127"
"37","Hoard Master","37","125"
"38","Merge Dragons","38","124"
"39","Call of Duty: Mobile","39","117"
"40","Subway Surfers","40","117"
"41","Goods Match 3D – Triple Master","41","116"
"42","June’s Journey: Hidden Objects","42","113"
"43","Garena Free Fire","43","113"
"44","Woodoku","44","111"
"45","Crowd Evolution!","45","104"
"46","Rise of Kingdoms: Lost Crusade","46","104"
"47","Last Shelter: Survival","47","104"
"48","Pull the Pin","48","100"
"49","DoubleDown Casino Vegas Slots","49","98"
"50","Fill The Fridge","50","97"
